QueryText,Sector,clean_text,label,balancing
"query about irrigation requirement for wheat crop?
",AGRICULTURE,query irrigation requirement wheat crop,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding to root rot in  cabbage ?,HORTICULTURE,information regarding root rot cabbage,1,original
" information regarding weather forecasting? 
 ",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of Fruit flies in CUCURBITS? 
",HORTICULTURE,information regarding control fruit flies cucurbits,1,original
"
information regarding contact no. of PAU,Ludhiana?
",AGRICULTURE,information regarding contact pau ludhiana,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding weather forecasting?,AGRICULTURE,information regarding weather forecasting,0,original
Information regarding control of Red Pumpkin beetle in okra?,HORTICULTURE,information regarding control red pumpkin beetle okra,1,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding weather forecasting?,AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding for root rot in moong  ?,AGRICULTURE,information regarding root rot moong,0,original
"Information reagding control of Pink Stem Borer in wheat ?
",AGRICULTURE,information reagding control pink stem borer wheat,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding sowing time of fodder maize ?
",AGRICULTURE,information regarding sowing time fodder maize,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
 ",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
                                                                                                                     
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding control of caterpillar in wheat ?,AGRICULTURE,information regarding control caterpillar wheat,0,original
Information regarding helpline no. PM kisan samman nidhi yojna ?,AGRICULTURE,information regarding helpline pm kisan samman nidhi yojna,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding contact no. of PAU,Ludhiana?
",AGRICULTURE,information regarding contact pau ludhiana,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
query about Pradhan Mantri Kisan Samman Nidhi Yojana?
",AGRICULTURE,query pradhan mantri kisan samman nidhi yojana,0,original
"information regarding contact no. of PAU,Ludhiana?
",AGRICULTURE,information regarding contact pau ludhiana,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding blight problem in kitchen garden ?,HORTICULTURE,information regarding blight problem kitchen garden,1,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the last irrigation in wheat ?
",AGRICULTURE,information regarding last irrigation wheat,0,original
"Information regarding Weed control in Maize ?
",AGRICULTURE,information regarding weed control maize,0,original
Information regarding agriculture crops in bihar?,AGRICULTURE,information regarding agriculture crops bihar,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of Red spidermite in CUCURBITS?
",HORTICULTURE,information regarding control red spidermite cucurbits,1,original
"Information regarding Stem rot in Barseem?
",AGRICULTURE,information regarding stem rot barseem,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding growth of bitter gourd?,HORTICULTURE,information regarding growth bitter gourd,1,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding to contact no. of Punjab Agricultural University Ludhiana  ?
",AGRICULTURE,information regarding contact punjab agricultural university ludhiana,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
 Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding department of veterinary extension education?,AGRICULTURE,information regarding department veterinary extension education,0,original
for job ?,AGRICULTURE,job,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding yield of pusa basmati -1718?
",AGRICULTURE,information regarding yield pusa basmati,0,original
"
Information regarding the last irrigation in wheat ?
",AGRICULTURE,information regarding last irrigation wheat,0,original
"Information regarding control of aphid in wheat ?
",AGRICULTURE,information regarding control aphid wheat,0,original
"Information regarding control of fruit drop in Citrus?
",HORTICULTURE,information regarding control fruit drop citrus,1,original
Information regarding control of sucking pest in ribbed gourd (kali tori) ?,HORTICULTURE,information regarding control sucking pest ribbed gourd kali tori,1,original
"Information regarding improved varieties of Brinjal?
",HORTICULTURE,information regarding improved varieties brinjal,1,original
information regarding control of  aphid in peach ?,HORTICULTURE,information regarding control aphid peach,1,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Contact no. of Punjab Agricultural University Ludhiana ,fodder section extension no.?
",AGRICULTURE,information regarding contact punjab agricultural university ludhiana fodder section extension,0,original
"Information regarding the last irrigation in wheat ?
",AGRICULTURE,information regarding last irrigation wheat,0,original
"Information regarding for Improved Varieties and seed rate of Fodder maize ?
",AGRICULTURE,information regarding improved varieties seed rate fodder maize,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding control gram caterpillar barseem,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding control gram caterpillar barseem,0,original
"INFORMATION REGARDING CONTROL OF FRUIT DROP IN MANGO?
",HORTICULTURE,information regarding control fruit drop mango,1,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding to contact no. of Punjab Agricultural University Ludhiana  ?
",AGRICULTURE,information regarding contact punjab agricultural university ludhiana,0,original
"information regarding control of aphid in mango?
",HORTICULTURE,information regarding control aphid mango,1,original
"Information regarding the last irrigation before harvesting in wheat?
",AGRICULTURE,information regarding last irrigation harvesting wheat,0,original
"
Information regarding control of Termite or shoot borer in Sugarcane?
",AGRICULTURE,information regarding control termite shoot borer sugarcane,0,original
"information regarding processing of dry ginger ?
",HORTICULTURE,information regarding processing dry ginger,1,original
"
Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding control gram caterpillar barseem,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
INFORMATION REGARDING LAST IRRIGATION IN GARLIC ?,HORTICULTURE,information regarding last irrigation garlic,1,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
INFORMATION REGARDING RECRUITMENT IN KISAN CALL CENTER ?,AGRICULTURE,information regarding recruitment kisan call center,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
 ",AGRICULTURE,information regarding weather forecasting,0,original
"
 Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Tobacco cacterpillar in Summer moong?
",AGRICULTURE,information regarding tobacco cacterpillar summer moong,0,original
"
 information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of Fruit flies in CUCURBITS?
",HORTICULTURE,information regarding control fruit flies cucurbits,1,original
"
Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding control gram caterpillar barseem,0,original
"
 information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Stem rot in Barseem?
",AGRICULTURE,information regarding stem rot barseem,0,original
"Information regarding control of Red Pumpkin beetle in CUCURBITS?
",HORTICULTURE,information regarding control red pumpkin beetle cucurbits,1,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding to fertilizer dose in sorghum fodder ?,AGRICULTURE,information regarding fertilizer dose sorghum fodder,0,original
"
Information regarding control of Brinjal shoot and Fruit borer?
",HORTICULTURE,information regarding control brinjal shoot fruit borer,1,original
"
Information regarding Fertilizer apply in Brinjal?
",HORTICULTURE,information regarding fertilizer apply brinjal,1,original
" Information regarding weather forecasting? 
 ",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
 ",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding transplanting date for paddy?
",AGRICULTURE,information regarding transplanting date paddy,0,original
"Information regarding Stem rot in Barseem?
Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding stem rot barseem information regarding control gram caterpillar barseem,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of red pumpkin bettle?
",HORTICULTURE,information regarding control red pumpkin bettle,1,original
"Information regarding weather forecasting amritsar ?
",AGRICULTURE,information regarding weather forecasting amritsar,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"INFORMATION REGARDING CONTROL OF APHID , HOPPER IN CORIANDER ?",HORTICULTURE,information regarding control aphid hopper coriander,1,original
information regarding chilli does not bearing fruits ?,HORTICULTURE,information regarding chilli bearing fruits,1,original
" information regading  flower dropping in mango?
",HORTICULTURE,information regading flower dropping mango,1,original
"Information regarding weather forecasting verka ?
",AGRICULTURE,information regarding weather forecasting verka,0,original
INFORMATION REGARDING CONTROL OF FRUIT FLY IN GUAVA ?,AGRICULTURE,information regarding control fruit fly guava,0,original
information regarding fertilizer doses in maize ?,AGRICULTURE,information regarding fertilizer doses maize,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting MAJITHA ? 
",AGRICULTURE,information regarding weather forecasting majitha,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding for nursery sowing and transplanting time of paddy ?,AGRICULTURE,information regarding nursery sowing transplanting time paddy,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the Contact no. Of Amritsar KVK?,HORTICULTURE,information regarding contact amritsar kvk,1,original
"Information regarding control of Aphids in CUCURBITS?
",HORTICULTURE,information regarding control aphids cucurbits,1,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the control of weeds in maize ?,AGRICULTURE,information regarding control weeds maize,0,original
"information regarding yield of pusa basmati -1718?
",AGRICULTURE,information regarding yield pusa basmati,0,original
"Information regarding improved varieties in fodder Maize?
",AGRICULTURE,information regarding improved varieties fodder maize,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the control of caterpillar in wheat ?,AGRICULTURE,information regarding control caterpillar wheat,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information  regarding control of weeds in non cropping area?
",AGRICULTURE,information regarding control weeds non cropping area,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding to contact no. of Punjab Agricultural University Ludhiana  ?
",AGRICULTURE,information regarding contact punjab agricultural university ludhiana,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
 Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting?  
",AGRICULTURE,information regarding weather forecasting,0,original
INFORMATION REGARDING IRON DEFICIENCY IN SUGARCANE ?,AGRICULTURE,information regarding iron deficiency sugarcane,0,original
"information regarding prepration of bordeaux mixture?
",HORTICULTURE,information regarding prepration bordeaux mixture,1,original
"
information regarding bordeaux paste ?
",HORTICULTURE,information regarding bordeaux paste,1,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"

information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" 
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding contact no. of PUSA institute Delhi?,AGRICULTURE,information regarding contact pusa institute delhi,0,original
information regarding contact no. of PUSA institute Delhi?,AGRICULTURE,information regarding contact pusa institute delhi,0,original
 Information regarding weather forecasting? ,AGRICULTURE,information regarding weather forecasting,0,original
"
information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of army worm in wheat ?
",AGRICULTURE,information regarding control army worm wheat,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" 
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" 
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" 
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding weather forecasting?,AGRICULTURE,information regarding weather forecasting,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding weather forecasting?,AGRICULTURE,information regarding weather forecasting,0,original
Information regarding Improved varieties of Summer moong?,AGRICULTURE,information regarding improved varieties summer moong,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding seed rate of mung bean?
",AGRICULTURE,information regarding seed rate mung bean,0,original
"Information regarding control of Citrus psylla,Aphids and Citrus leaf miner?
",HORTICULTURE,information regarding control citrus psylla aphids citrus leaf miner,1,original
"

 Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding transplanting date for paddy?
",AGRICULTURE,information regarding transplanting date paddy,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Fertilizer in BITTER GOURD(Karela)?
",HORTICULTURE,information regarding fertilizer bitter gourd karela,1,original
irrelevant call,HORTICULTURE,irrelevant call,1,original
"Information regarding Stem rot in Barseem?
",AGRICULTURE,information regarding stem rot barseem,0,original
"Information regarding Sowing time of Tomato?
",HORTICULTURE,information regarding sowing time tomato,1,original
information regarding irrigation in mash crop ?,AGRICULTURE,information regarding irrigation mash crop,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding cultivation of saffron?
",HORTICULTURE,information regarding cultivation saffron,1,original
"  Information regarding weather forecasting rayya - ?
",AGRICULTURE,information regarding weather forecasting rayya,0,original
"Information regarding transplanting date for paddy?
",AGRICULTURE,information regarding transplanting date paddy,0,original
"Information regarding Control of Gram caterpillar in Barseem?
",AGRICULTURE,information regarding control gram caterpillar barseem,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding control of fungus in Lobia? 
",HORTICULTURE,information regarding control fungus lobia,1,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting  majitha ?
",AGRICULTURE,information regarding weather forecasting majitha,0,original
information regarding weed control in moong?,AGRICULTURE,information regarding weed control moong,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Query about control of caterpillar in barseem ?
",AGRICULTURE,query control caterpillar barseem,0,original
"Information regarding control of army worm in wheat ?
",AGRICULTURE,information regarding control army worm wheat,0,original
information regarding control of fungus in kali tori?,HORTICULTURE,information regarding control fungus kali tori,1,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Control of Armyworm and silk cutter in Mazie crop ?
Information regarding Control of Jassid or Pyrilla in Mazie crop ?
",AGRICULTURE,information regarding control armyworm silk cutter mazie crop information regarding control jassid pyrilla mazie crop,0,original
"information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting  amritsar ?
",AGRICULTURE,information regarding weather forecasting amritsar,0,original
"Information reagding control of Pink Stem Borer in wheat ?
",AGRICULTURE,information reagding control pink stem borer wheat,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"
 Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
information regarding red beetle ?,AGRICULTURE,information regarding red beetle,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding to varieties of fodder maize ?
",AGRICULTURE,information regarding varieties fodder maize,0,original
"Information regarding the Contact no. Of Amritsar KVK?
",AGRICULTURE,information regarding contact amritsar kvk,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting  amritsar ?
",AGRICULTURE,information regarding weather forecasting amritsar,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of Pink Stem Borer in wheat ?
",AGRICULTURE,information regarding control pink stem borer wheat,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Total fertilizer dose in Mazie ?
",AGRICULTURE,information regarding total fertilizer dose mazie,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the Contact no. Of Amritsar KVK?,HORTICULTURE,information regarding contact amritsar kvk,1,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"
Information regarding the contact no. of Punjab Mandi Board ?
",AGRICULTURE,information regarding contact punjab mandi board,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of Spotted bollworm in Okra?
",HORTICULTURE,information regarding control spotted bollworm okra,1,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the Contact no. Of Amritsar KVK?
",AGRICULTURE,information regarding contact amritsar kvk,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding improved varieties of Basmati?
",AGRICULTURE,information regarding improved varieties basmati,0,original
"
Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"INFORMATION REGARDING HOW TO COLLECT SOIL SAMPLE?
",AGRICULTURE,information regarding collect soil sample,0,original
information regarding control of  catterpillar  in cucubits ?,HORTICULTURE,information regarding control catterpillar cucubits,1,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Call regarding message delivery on mobile.
",AGRICULTURE,call regarding message delivery mobile,0,original
"Information regarding Fertilizer dose in maize crop ?
",AGRICULTURE,information regarding fertilizer dose maize crop,0,original
"Information regarding control of aphid in wheat ?
",AGRICULTURE,information regarding control aphid wheat,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"information regarding contact no. of PAU,Ludhiana?
",AGRICULTURE,information regarding contact pau ludhiana,0,original
"Information regarding weather forecasting  ?
",AGRICULTURE,information regarding weather forecasting,0,original
"  Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the weather forecasting ?,AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the weather forecasting ?,AGRICULTURE,information regarding weather forecasting,0,original
Information regarding the weather forecasting ?,AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting  CHOGAWAN ?
",AGRICULTURE,information regarding weather forecasting chogawan,0,original
"Information regarding the weather forecasting ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting  MAJITHA  ?
",AGRICULTURE,information regarding weather forecasting majitha,0,original
"
INFORMATION REGARDING HOW TO COLLECT SOIL SAMPLE?
",HORTICULTURE,information regarding collect soil sample,1,original
"Information regarding weather forecasting  ?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding nursery sowing and transplanting time of Paddy?
",AGRICULTURE,information regarding nursery sowing transplanting time paddy,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding control of mango malformation?
",HORTICULTURE,information regarding control mango malformation,1,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding Improved varieties of Summer moong?
",AGRICULTURE,information regarding improved varieties summer moong,0,original
"Information regarding Improved varieties and yield of  Summer Mash?
",AGRICULTURE,information regarding improved varieties yield summer mash,0,original
"Information regarding control of Downy mildew or Blight in CUCURBITS?
",HORTICULTURE,information regarding control downy mildew blight cucurbits,1,original
"Information regarding weather forecasting?
",AGRICULTURE,information regarding weather forecasting,0,original
"Information regarding weather forecasting  AJNALA ?
",AGRICULTURE,information regarding weather forecasting ajnala,0,original
"Information regarding weather forecasting  AJNALA ?
",AGRICULTURE,information regarding weather forecasting ajnala,0,original
"Information regarding the Contact no. Of Amritsar KVK?
",AGRICULTURE,information regarding contact amritsar kvk,0,original
"Information regarding the Contact no. Of Amritsar KVK?
",AGRICULTURE,information regarding contact amritsar kvk,0,original
"Information regarding Contact no. Of Chief Agricultural Officer of Amritsar ?
",AGRICULTURE,information regarding contact chief agricultural officer amritsar,0,original
"Information regarding weather forecasting?
 ",AGRICULTURE,information regarding weather forecasting,0,original
" Information regarding weather forecasting? 
",AGRICULTURE,information regarding weather forecasting,0,original
